Name;x;y;z
Sol;0.001;0.001;0.001
Epsilon Eridani;1.037;-0.675;-0.216
GJ 1075;2.451;-0.591;-3.966
NN 3707;-0.155;3.512;-0.946
NN 3253;3.185;-1.977;1.148
Gliese 766;-3.489;-1.735;1.998
Gliese 836.5;-2.696;-3.949;1.836
61 Virginis;-1.107;3.108;-1.092
Gliese 687;-0.678;0.069;1.716
Gliese 686;-3.127;0.303;1.056
GJ 1073;3.82;-1.159;3.437
Gliese 682;-1.464;0.147;-1.436
Gliese 680;-2.616;0.284;-2.993
NN 3380;2.437;0.026;2.892
GJ 1207;-3.748;1.056;-0.296
GJ 1206;-2.189;0.707;3.837
Gliese 487;-0.357;1.644;3.798
Gliese 486;-0.685;3.227;0.567
NN 3417;1.421;0.367;2.799
YZ Ceti;0.451;-1.377;-0.443
Gliese 251;1.907;0.465;1.289
GJ 1270;-1.622;-3.902;3.735
GJ 1276;-0.929;-3.124;-0.387
GJ 1277;-0.619;-2.176;-3.925
Eta Boötis;-2.105;3.85;1.459
Gliese 75;0.812;-1.598;3.651
54 Orionis;3.312;-0.081;1.224
Gliese 79;1.975;-3.684;-1.726
Gliese 438;0.155;2.111;-2.694
Gliese 821;-3.267;-3.544;-1.139
GJ 1187;-1.756;1.789;3.81
Gliese 431;0.396;3.196;-2.805
Gliese 432;0.363;3.247;-2.109
Gliese 433;0.332;3.087;-1.982
Gliese 435;0.301;3.632;-3.57
Gliese 436;0.29;3.715;1.875
Gliese 382;1.439;2.834;-0.208
Gliese 84;1.904;-3.135;-1.165
Gliese 86;1.514;-2.368;-3.449
Gliese 87;2.307;-3.542;0.264
Gliese 145;2.522;-1.885;-3.116
Gliese 268;1.934;0.61;1.615
Gliese 142;3.812;-2.982;-1.743
NN 3079;1.28;-3.913;-0.133
Gliese 339.1;1.647;1.896;3.387
NN 4285;-0.398;-1.064;-2.53
Gliese 480.1;-0.401;2.227;-2.153
NN 4281;-1.67;-3.979;-1.029
Fomalhaut;-0.732;-2.624;-1.549
Gliese 232;3.099;0.334;1.352
NN 3988;-2.345;0.591;3.029
HD 285968;3.429;-1.2;1.248
Gliese 318;2.32;1.974;-1.975
Gliese 317;3.281;2.778;-1.866
Gliese 581;-1.936;1.633;-0.343
Gliese 915;0.022;-2.321;-2.175
268 G. Cet;1.837;-2.267;0.352
NN 3210;1.957;-1.751;-3.63
Gliese 649;-3.653;1.01;1.828
Struve 2398;-0.723;-0.137;1.255
NN 3182;1.642;-1.814;3.417
Gliese 367;1.556;2.317;-2.868
Gliese 644;-2.224;0.643;-0.339
Gliese 773.6;-2.658;-1.574;-3.688
NN 3855;-1.217;1.575;3.408
GJ 1105;2.174;1.232;2.196
GJ 1103;3.164;1.681;0
NN 3454;2.28;1.02;0.31
NN 3325;3.498;-0.883;-1.129
NN 3323;2.404;-0.622;-0.302
GJ 1243;-2.961;-1.561;3.524
NN 3459;3.748;1.721;-1.602
NN 3592;1.115;2.262;-3.763
NN 4063;-2.485;-0.378;2.119
NN 4062;-3.876;-0.545;3.364
NN 3959;-2.856;1.164;2.667
Iota Pegasi;-2.05;-3.816;2.052
Gliese 867;-1.145;-3.093;-1.241
EZ Aquarii;-0.466;-1.252;-0.366
Ross 128;0.073;1.359;0.019
NN 3522;1.279;1.267;0.268
NN 3526;1.082;1.108;3.847
